Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
5,02/05/2010,0,39.7,2.572,NA,NA,NA,NA,211.6539716,6.566
5,02/12/2010,1,39.81,2.548,NA,NA,NA,NA,211.8004698,6.566
5,02/19/2010,0,41.14,2.514,NA,NA,NA,NA,211.8471283,6.566
5,02/26/2010,0,46.7,2.561,NA,NA,NA,NA,211.8771468,6.566
5,03/05/2010,0,48.89,2.625,NA,NA,NA,NA,211.9071653,6.566
5,03/12/2010,0,58.5,2.667,NA,NA,NA,NA,211.9371839,6.566
5,03/19/2010,0,55.46,2.72,NA,NA,NA,NA,211.770897,6.566
5,03/26/2010,0,52.47,2.732,NA,NA,NA,NA,211.5718925,6.566
5,04/02/2010,0,63.18,2.719,NA,NA,NA,NA,211.372888,6.465
5,04/09/2010,0,65.19,2.77,NA,NA,NA,NA,211.1738835,6.465
5,04/16/2010,0,65.3,2.808,NA,NA,NA,NA,211.0388528,6.465
5,04/23/2010,0,65.13,2.795,NA,NA,NA,NA,210.9891204,6.465
5,04/30/2010,0,67.53,2.78,NA,NA,NA,NA,210.939388,6.465
5,05/07/2010,0,71.53,2.835,NA,NA,NA,NA,210.8896556,6.465
5,05/14/2010,0,74.79,2.854,NA,NA,NA,NA,210.8872772,6.465
5,05/21/2010,0,75.2,2.826,NA,NA,NA,NA,211.169023,6.465
5,05/28/2010,0,79.81,2.759,NA,NA,NA,NA,211.4507688,6.465
5,06/04/2010,0,79.54,2.705,NA,NA,NA,NA,211.7325146,6.465
5,06/11/2010,0,80.7,2.668,NA,NA,NA,NA,212.0142605,6.465
5,06/18/2010,0,83.91,2.637,NA,NA,NA,NA,212.0119769,6.465
5,06/25/2010,0,83.72,2.653,NA,NA,NA,NA,211.8960815,6.465
5,07/02/2010,0,81.25,2.669,NA,NA,NA,NA,211.7801861,6.496
5,07/09/2010,0,81.14,2.642,NA,NA,NA,NA,211.6642907,6.496
5,07/16/2010,0,83.98,2.623,NA,NA,NA,NA,211.6561123,6.496
5,07/23/2010,0,83.66,2.608,NA,NA,NA,NA,211.7915565,6.496
5,07/30/2010,0,82.46,2.64,NA,NA,NA,NA,211.9270006,6.496
5,08/06/2010,0,86.1,2.627,NA,NA,NA,NA,212.0624447,6.496
5,08/13/2010,0,87.41,2.692,NA,NA,NA,NA,212.1978889,6.496
5,08/20/2010,0,87.71,2.664,NA,NA,NA,NA,212.1608984,6.496
5,08/27/2010,0,87.05,2.619,NA,NA,NA,NA,212.123908,6.496
5,09/03/2010,0,84.06,2.577,NA,NA,NA,NA,212.0869176,6.496
5,09/10/2010,1,79.86,2.565,NA,NA,NA,NA,212.0499271,6.496
5,09/17/2010,0,82.28,2.582,NA,NA,NA,NA,212.0769346,6.496
5,09/24/2010,0,78.53,2.624,NA,NA,NA,NA,212.1519404,6.496
5,10/01/2010,0,71.1,2.603,NA,NA,NA,NA,212.2269463,6.768
5,10/08/2010,0,64.99,2.633,NA,NA,NA,NA,212.3019522,6.768
5,10/15/2010,0,68.11,2.72,NA,NA,NA,NA,212.3691867,6.768
5,10/22/2010,0,70.96,2.725,NA,NA,NA,NA,212.4169928,6.768
5,10/29/2010,0,70.58,2.716,NA,NA,NA,NA,212.464799,6.768
5,11/05/2010,0,58.88,2.689,NA,NA,NA,NA,212.5126051,6.768
5,11/12/2010,0,62.37,2.728,NA,NA,NA,NA,212.5604113,6.768
5,11/19/2010,0,52.52,2.771,NA,NA,NA,NA,212.445487,6.768
5,11/26/2010,1,66.15,2.735,NA,NA,NA,NA,212.303441,6.768
5,12/03/2010,0,51.31,2.708,NA,NA,NA,NA,212.1613951,6.768
5,12/10/2010,0,48.27,2.843,NA,NA,NA,NA,212.0193491,6.768
5,12/17/2010,0,51.61,2.869,NA,NA,NA,NA,211.9580815,6.768
5,12/24/2010,0,55.01,2.886,NA,NA,NA,NA,211.9573978,6.768
5,12/31/2010,1,49.79,2.943,NA,NA,NA,NA,211.9567142,6.768
5,01/07/2011,0,48.3,2.976,NA,NA,NA,NA,211.9560305,6.634
5,01/14/2011,0,37.74,2.983,NA,NA,NA,NA,212.008514,6.634
5,01/21/2011,0,45.41,3.016,NA,NA,NA,NA,212.3800012,6.634
5,01/28/2011,0,44.5,3.01,NA,NA,NA,NA,212.7514884,6.634
5,02/04/2011,0,41.67,2.989,NA,NA,NA,NA,213.1229755,6.634
5,02/11/2011,1,38.25,3.022,NA,NA,NA,NA,213.4944627,6.634
5,02/18/2011,0,58.83,3.045,NA,NA,NA,NA,213.8068304,6.634
5,02/25/2011,0,63.35,3.065,NA,NA,NA,NA,214.0955503,6.634
5,03/04/2011,0,60.35,3.288,NA,NA,NA,NA,214.3842702,6.634
5,03/11/2011,0,55.74,3.459,NA,NA,NA,NA,214.6729901,6.634
5,03/18/2011,0,64.31,3.488,NA,NA,NA,NA,214.9257339,6.634
5,03/25/2011,0,70.71,3.473,NA,NA,NA,NA,215.1640872,6.634
5,04/01/2011,0,61.5,3.524,NA,NA,NA,NA,215.4024406,6.489
5,04/08/2011,0,69.64,3.622,NA,NA,NA,NA,215.6407939,6.489
5,04/15/2011,0,72.02,3.743,NA,NA,NA,NA,215.8592673,6.489
5,04/22/2011,0,74.34,3.807,NA,NA,NA,NA,216.0280407,6.489
5,04/29/2011,0,74.75,3.81,NA,NA,NA,NA,216.1968142,6.489
5,05/06/2011,0,66.27,3.906,NA,NA,NA,NA,216.3655877,6.489
5,05/13/2011,0,77.38,3.899,NA,NA,NA,NA,216.5343611,6.489
5,05/20/2011,0,71.37,3.907,NA,NA,NA,NA,216.3023847,6.489
5,05/27/2011,0,80.14,3.786,NA,NA,NA,NA,216.0704083,6.489
5,06/03/2011,0,83.81,3.699,NA,NA,NA,NA,215.8384319,6.489
