Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
11,02/05/2010,0,46.04,2.572,NA,NA,NA,NA,214.4248812,7.368
11,02/12/2010,1,48.01,2.548,NA,NA,NA,NA,214.5747916,7.368
11,02/19/2010,0,48.3,2.514,NA,NA,NA,NA,214.6198868,7.368
11,02/26/2010,0,52.79,2.561,NA,NA,NA,NA,214.6475127,7.368
11,03/05/2010,0,53.96,2.625,NA,NA,NA,NA,214.6751386,7.368
11,03/12/2010,0,64.1,2.667,NA,NA,NA,NA,214.7027646,7.368
11,03/19/2010,0,61.51,2.72,NA,NA,NA,NA,214.5301219,7.368
11,03/26/2010,0,58.09,2.732,NA,NA,NA,NA,214.3241011,7.368
11,04/02/2010,0,66.16,2.719,NA,NA,NA,NA,214.1180803,7.343
11,04/09/2010,0,69.57,2.77,NA,NA,NA,NA,213.9120595,7.343
11,04/16/2010,0,67.81,2.808,NA,NA,NA,NA,213.7726889,7.343
11,04/23/2010,0,68.37,2.795,NA,NA,NA,NA,213.7221852,7.343
11,04/30/2010,0,71.13,2.78,NA,NA,NA,NA,213.6716815,7.343
11,05/07/2010,0,75.57,2.835,NA,NA,NA,NA,213.6211778,7.343
11,05/14/2010,0,77.64,2.854,NA,NA,NA,NA,213.6196139,7.343
11,05/21/2010,0,76.97,2.826,NA,NA,NA,NA,213.9116886,7.343
11,05/28/2010,0,79.69,2.759,NA,NA,NA,NA,214.2037634,7.343
11,06/04/2010,0,79.66,2.705,NA,NA,NA,NA,214.4958382,7.343
11,06/11/2010,0,82.81,2.668,NA,NA,NA,NA,214.787913,7.343
11,06/18/2010,0,84.13,2.637,NA,NA,NA,NA,214.7858259,7.343
11,06/25/2010,0,84.5,2.653,NA,NA,NA,NA,214.6660741,7.343
11,07/02/2010,0,83.09,2.669,NA,NA,NA,NA,214.5463222,7.346
11,07/09/2010,0,83.01,2.642,NA,NA,NA,NA,214.4265704,7.346
11,07/16/2010,0,84.9,2.623,NA,NA,NA,NA,214.4176476,7.346
